Folio,Periodo,Anio,Zona,Zona_corta,Tipo_zona,Categoria,Sentimiento,Dias_respuesta,Texto_PQRSD
PQR-2025T3-0016,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,19,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0017,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,19,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0018,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,15,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0019,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,22,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0020,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,19,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0021,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,19,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0022,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,19,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0023,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,15,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0024,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,21,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0025,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,21,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0026,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,22,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0027,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,19,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0028,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,19,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0029,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,21,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0030,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,19,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0031,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,18,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0032,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,16,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0033,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,18,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0034,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,22,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0035,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,22,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0036,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Neutral,20,¿Cómo consulto el estado de mi proceso de reparación?
PQR-2025T3-0037,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Neutral,17,¿Cómo consulto el estado de mi proceso de reparación?
PQR-2025T3-0038,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Negativo,16,"Fui incluido hace años y todavía no me llega la indemnización, es una injusticia."
PQR-2025T3-0039,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Negativo,18,"Fui incluido hace años y todavía no me llega la indemnización, es una injusticia."
PQR-2025T3-0040,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Neutral,18,Solicito información sobre el turno de mi indemnización administrativa.
PQR-2025T3-0041,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Neutral,21,¿Cómo consulto el estado de mi proceso de reparación?
PQR-2025T3-0042,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Neutral,17,¿Cómo consulto el estado de mi proceso de reparación?
PQR-2025T3-0043,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Negativo,17,"Fui incluido hace años y todavía no me llega la indemnización, es una injusticia."
PQR-2025T3-0044,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Negativo,17,"Fui incluido hace años y todavía no me llega la indemnización, es una injusticia."
PQR-2025T3-0045,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Negativo,21,"Fui incluido hace años y todavía no me llega la indemnización, es una injusticia."
PQR-2025T3-0046,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Neutral,17,¿Cómo consulto el estado de mi proceso de reparación?
PQR-2025T3-0047,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Negativo,18,No entiendo por qué a otros ya les pagaron la reparación y a mí no.
PQR-2025T3-0048,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Neutral,21,¿Cómo consulto el estado de mi proceso de reparación?
PQR-2025T3-0049,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Positivo,18,Me orientaron bien sobre el proceso de reparación.
PQR-2025T3-0050,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Indemnización / reparación,Negativo,20,No entiendo por qué a otros ya les pagaron la reparación y a mí no.
PQR-2025T3-0051,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Neutral,17,Pregunto por las convocatorias de vivienda para población víctima.
PQR-2025T3-0052,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,17,Postulé al subsidio de vivienda y me rechazaron sin explicación clara.
PQR-2025T3-0053,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Neutral,18,Pregunto por las convocatorias de vivienda para población víctima.
PQR-2025T3-0054,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Neutral,19,Solicito información sobre el subsidio de mejoramiento de vivienda.
PQR-2025T3-0055,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,19,La casa que me asignaron tiene problemas y nadie responde.
PQR-2025T3-0056,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,15,La casa que me asignaron tiene problemas y nadie responde.
PQR-2025T3-0057,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Neutral,22,Pregunto por las convocatorias de vivienda para población víctima.
PQR-2025T3-0058,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,17,Postulé al subsidio de vivienda y me rechazaron sin explicación clara.
PQR-2025T3-0059,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,15,La casa que me asignaron tiene problemas y nadie responde.
PQR-2025T3-0060,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,18,Postulé al subsidio de vivienda y me rechazaron sin explicación clara.
PQR-2025T3-0061,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,16,Postulé al subsidio de vivienda y me rechazaron sin explicación clara.
PQR-2025T3-0062,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Neutral,15,Solicito información sobre el subsidio de mejoramiento de vivienda.
PQR-2025T3-0063,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Vivienda,Negativo,18,Postulé al subsidio de vivienda y me rechazaron sin explicación clara.
PQR-2025T3-0064,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Positivo,15,"La atención psicosocial me ha ayudado mucho, gracias al equipo."
PQR-2025T3-0065,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Positivo,17,"Recibí buena orientación en salud, quedé satisfecho."
PQR-2025T3-0066,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Positivo,16,"La atención psicosocial me ha ayudado mucho, gracias al equipo."
PQR-2025T3-0067,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Negativo,20,Necesito atención psicosocial y me dan citas para dentro de meses.
PQR-2025T3-0068,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Negativo,15,No hay profesionales suficientes para la atención en salud mental.
PQR-2025T3-0069,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Negativo,20,No hay profesionales suficientes para la atención en salud mental.
PQR-2025T3-0070,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Neutral,20,Pregunto por el programa de atención en salud para víctimas.
PQR-2025T3-0071,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Negativo,22,Necesito atención psicosocial y me dan citas para dentro de meses.
PQR-2025T3-0072,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Negativo,17,No hay profesionales suficientes para la atención en salud mental.
PQR-2025T3-0073,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Negativo,21,No hay profesionales suficientes para la atención en salud mental.
PQR-2025T3-0074,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Neutral,17,Pregunto por el programa de atención en salud para víctimas.
PQR-2025T3-0075,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Negativo,20,Necesito atención psicosocial y me dan citas para dentro de meses.
PQR-2025T3-0076,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Positivo,20,"Recibí buena orientación en salud, quedé satisfecho."
PQR-2025T3-0077,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Positivo,23,"Recibí buena orientación en salud, quedé satisfecho."
PQR-2025T3-0078,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Salud y atención psicosocial,Neutral,20,Solicito una cita de atención psicosocial para mi familia.
PQR-2025T3-0079,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Positivo,22,La orientación sobre educación superior fue útil.
PQR-2025T3-0080,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Positivo,20,La orientación sobre educación superior fue útil.
PQR-2025T3-0081,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Positivo,16,"Mi hija obtuvo el apoyo educativo, muy agradecida."
PQR-2025T3-0082,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Negativo,15,Mi hijo no ha podido acceder al beneficio educativo prometido.
PQR-2025T3-0083,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Positivo,23,La orientación sobre educación superior fue útil.
PQR-2025T3-0084,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Positivo,17,La orientación sobre educación superior fue útil.
PQR-2025T3-0085,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Negativo,22,Falta información sobre los cupos educativos para víctimas.
PQR-2025T3-0086,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Neutral,16,Pregunto por el apoyo educativo para el próximo semestre.
PQR-2025T3-0087,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Neutral,16,Solicito información sobre becas para estudiantes víctimas.
PQR-2025T3-0088,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Positivo,22,La orientación sobre educación superior fue útil.
PQR-2025T3-0089,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Educación,Negativo,22,Mi hijo no ha podido acceder al beneficio educativo prometido.
PQR-2025T3-0090,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Negativo,21,Llevo meses esperando que me incluyan en el RUV y no hay respuesta.
PQR-2025T3-0091,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Positivo,21,"Ya quedé incluido en el registro, agradezco la ayuda."
PQR-2025T3-0092,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Neutral,19,Solicito información sobre mi estado en el Registro Único de Víctimas.
PQR-2025T3-0093,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Neutral,17,Solicito información sobre mi estado en el Registro Único de Víctimas.
PQR-2025T3-0094,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Neutral,21,Solicito información sobre mi estado en el Registro Único de Víctimas.
PQR-2025T3-0095,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Negativo,20,Llevo meses esperando que me incluyan en el RUV y no hay respuesta.
PQR-2025T3-0096,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Neutral,18,Solicito información sobre mi estado en el Registro Único de Víctimas.
PQR-2025T3-0097,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Neutral,20,Solicito información sobre mi estado en el Registro Único de Víctimas.
PQR-2025T3-0098,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Neutral,19,¿Qué debo hacer para actualizar mis datos en el RUV?
PQR-2025T3-0099,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Negativo,21,Llevo meses esperando que me incluyan en el RUV y no hay respuesta.
PQR-2025T3-0100,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Negativo,15,Llevo meses esperando que me incluyan en el RUV y no hay respuesta.
PQR-2025T3-0101,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Registro / inclusión RUV,Negativo,22,Me negaron la inclusión y no me explicaron los motivos.
PQR-2025T3-0102,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Retornos y reubicación,Negativo,15,Solicité apoyo para el retorno y no hay condiciones de seguridad.
PQR-2025T3-0103,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Retornos y reubicación,Neutral,16,Solicito información sobre acompañamiento para reubicación.
PQR-2025T3-0104,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Retornos y reubicación,Negativo,20,Solicité apoyo para el retorno y no hay condiciones de seguridad.
PQR-2025T3-0105,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Retornos y reubicación,Negativo,21,Solicité apoyo para el retorno y no hay condiciones de seguridad.
PQR-2025T3-0106,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Retornos y reubicación,Positivo,17,"El acompañamiento para el retorno fue bueno, gracias."
PQR-2025T3-0107,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Retornos y reubicación,Negativo,16,El proceso de reubicación está detenido hace tiempo.
PQR-2025T3-0108,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Retornos y reubicación,Neutral,17,Pregunto por el plan de retorno para mi comunidad.
PQR-2025T3-0109,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Negativo,15,Me han remitido de una oficina a otra sin resolver mi caso.
PQR-2025T3-0110,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Positivo,19,Me resolvieron el trámite sin complicaciones.
PQR-2025T3-0111,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Negativo,16,Me han remitido de una oficina a otra sin resolver mi caso.
PQR-2025T3-0112,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Neutral,17,Solicito un certificado de mi condición de víctima.
PQR-2025T3-0113,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Positivo,21,La atención en ventanilla fue amable y rápida.
PQR-2025T3-0114,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Neutral,17,Pregunto por el horario de atención de la oficina.
PQR-2025T3-0115,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Positivo,19,La atención en ventanilla fue amable y rápida.
PQR-2025T3-0116,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Negativo,16,Me han remitido de una oficina a otra sin resolver mi caso.
PQR-2025T3-0117,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Otros trámites,Neutral,18,Pregunto por el horario de atención de la oficina.
PQR-2025T3-0118,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,23,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0119,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,16,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0120,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,22,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0121,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,18,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0122,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,22,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0123,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Positivo,19,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0124,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,17,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0125,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,15,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0126,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,16,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0127,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,18,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0128,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Positivo,17,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0129,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,18,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0130,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,17,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0131,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,17,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0132,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Positivo,22,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0133,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,21,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0134,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Positivo,20,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0135,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,18,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0136,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,18,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0137,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,16,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0138,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Positivo,19,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0139,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,22,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0140,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,17,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0141,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Positivo,22,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0142,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Positivo,23,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0143,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Negativo,22,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0144,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Ayuda humanitaria,Neutral,17,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0145,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Negativo,19,"Fui incluido hace años y todavía no me llega la indemnización, es una injusticia."
PQR-2025T3-0146,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Neutral,16,Solicito información sobre el turno de mi indemnización administrativa.
PQR-2025T3-0147,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Negativo,20,No entiendo por qué a otros ya les pagaron la reparación y a mí no.
PQR-2025T3-0148,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Negativo,15,No entiendo por qué a otros ya les pagaron la reparación y a mí no.
PQR-2025T3-0149,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Negativo,19,No entiendo por qué a otros ya les pagaron la reparación y a mí no.
PQR-2025T3-0150,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Negativo,22,"Fui incluido hace años y todavía no me llega la indemnización, es una injusticia."
PQR-2025T3-0151,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Neutral,17,¿Cómo consulto el estado de mi proceso de reparación?
PQR-2025T3-0152,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Neutral,17,Solicito información sobre el turno de mi indemnización administrativa.
PQR-2025T3-0153,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Neutral,20,Solicito información sobre el turno de mi indemnización administrativa.
PQR-2025T3-0154,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Negativo,22,No entiendo por qué a otros ya les pagaron la reparación y a mí no.
PQR-2025T3-0155,2025-T3,2025,Comuna 2 (Roma),Comuna 2,Comuna,Indemnización / reparación,Neutral,15,Solicito información sobre el turno de mi indemnización administrativa.
